No,Code,Company Name,Listing Date,Shares,Listing Board
183,BUMI,Bumi Resources Tbk.,30 Jul 1990,"371,320,705,024",Main
184,BUVA,Bukit Uluwatu Villa Tbk.,12 Jul 2010,"20,590,473,213",Development
185,BVIC,Bank Victoria International Tb,30 Jun 1999,"15,690,044,827",Main
186,BWPT,Eagle High Plantations Tbk.,27 Oct 2009,"31,525,291,000",Main
187,BYAN,Bayan Resources Tbk.,12 Agt 2008,"33,333,335,000",Main
188,CAKK,Cahayaputra Asa Keramik Tbk.,31 Oct 2018,"1,203,300,219",Development
189,CAMP,Campina Ice Cream Industry Tbk,19 Dec 2017,"5,885,000,000",Development
190,CANI,Capitol Nusantara Indonesia Tb,16 Jan 2014,"833,440,000",Watchlist
191,CARE,Metro Healthcare Indonesia Tbk,13 Mar 2020,"33,250,000,000",Development
192,CARS,Industri dan Perdagangan Bintr,10 Apr 2017,"15,000,000,000",Main
193,CASA,Capital Financial Indonesia Tb,19 Jul 2016,"54,476,269,803",Development
194,CASH,Cashlez Worldwide Indonesia Tb,04 May 2020,"1,431,125,517",Acceleration
195,CASS,Cardig Aero Services Tbk.,05 Dec 2011,"2,086,950,000",Main
196,CBMF,Cahaya Bintang Medan Tbk.,09 Apr 2020,"1,875,000,000",Watchlist
197,CBPE,Citra Buana Prasida Tbk.,06 Jan 2023,"1,356,250,000",Development
198,CBRE,Cakra Buana Resources Energi T,09 Jan 2023,"4,538,049,492",Watchlist
199,CBUT,Citra Borneo Utama Tbk.,08 Nov 2022,"3,125,000,000",Main
200,CCSI,Communication Cable Systems In,18 Jun 2019,"1,199,999,998",Development
201,CEKA,Wilmar Cahaya Indonesia Tbk.,09 Jul 1996,"595,000,000",Development
202,CENT,Centratama Telekomunikasi Indo,01 Nov 2001,"31,183,464,900",Watchlist
203,CFIN,Clipan Finance Indonesia Tbk.,27 Agt 1990,"3,984,520,457",Main
204,CGAS,Citra Nusantara Gemilang Tbk.,08 Jan 2024,"1,771,429,000",Development
205,CHEM,Chemstar Indonesia Tbk.,08 Jul 2022,"1,700,014,594",Development
